"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"View","Zoom In","⌘=","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Run/Debug","FDT SWF Application","⇧⌥X M","Editing ActionScript Source or Flash Explorer"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Source","Swf Proposal","⌘2","Editing ActionScript Source or Flash Explorer"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Run/Debug","FDT SWF Application (Profile)","⇧⌥P M","Editing ActionScript Source or Flash Explorer"
"Run/Debug","FDT SWF Flex Unit Test","⇧⌥X F","Editing ActionScript Source or Flash Explorer"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Navigate","Open Type","⇧⌘T","In Windows"
"Server","Run","⌥⌘R","In Servers View"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Search","Find Text in File","⇧⌘F","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"File","Refresh","F5","In Windows"
"Web Page Editor Layout","Source Code","⇧⌘F12","Using Web Page Editor"
"Run/Debug","FDT AIR Flex Unit Test","⇧⌥X S","Editing ActionScript Source or Flash Explorer"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Terminal view commands","Terminal view insert","⌥N","Terminal widget context"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Edit","Select Enclosing Element","⇧⌃↑","Editing Java Source"
